1, Sydney, 1000000
2, Tokyo, 500000
3, Berlin, 200000
4, Sydney, 150000
5, Sydney, 200000
6, Tokyo, 700000000
7, Berlin, 300000000
8, Sydney, 200000000
9, Tokyo, 8000000
10, Sydney, 5000000
11, Berlin, 10000000
12, Sydney, 3000000
13, Sydney, 4000000
14, Tokyo, 90000000
15, Berlin, 20000000
16, Sydney, 50000000
17, Tokyo, 100000000
18, Berlin, 80000000
19, Sydney, 90000000
20, Sydney, 60000000
21, Tokyo, 70000000
22, Berlin, 20000000
23, Sydney, 30000000
24, Sydney, 50000000
25, Tokyo, 1000000
26, Berlin, 3000000
27, Sydney, 2000000
28, Sydney, 1000000
29, Tokyo, 7000000
30, Berlin, 4000000
31, Sydney, 150000
32, Sydney, 200000
33, Tokyo, 90000000
34, Berlin, 300000000
35, Sydney, 80000000
36, Sydney, 200000000
37, Tokyo, 8000000
38, Sydney, 5000000
39, Berlin, 10000000
40, Sydney, 3000000
41, Sydney, 4000000
42, Tokyo, 90000000
43, Berlin, 20000000
44, Sydney, 50000000
45, Tokyo, 100000000
46, Berlin, 80000000
47, Sydney, 90000000
48, Sydney, 60000000
49, Tokyo, 70000000
50, Berlin, 20000000
